# Downloaded at 2025-09-17 15:01:00 [UTC]
# Station name = Belfast Maine Harbor
# Device type = Level
# Device serial = PTM5461
# Latitude [deg] = 44.428903
# Longitude [deg] = -69.004461
# Current probe level = 6.28 m w.r.t. local datum
# 
# timestamp [sec UTC],timestring [America/New_York],Water level [ft]# 
1704432600,2024-01-05 00:30:00,2.571
1704433500,2024-01-05 00:45:00,2.942
1704434400,2024-01-05 01:00:00,3.404
1704435300,2024-01-05 01:15:00,3.848
1704436200,2024-01-05 01:30:00,4.301
1704437100,2024-01-05 01:45:00,4.785
1704438000,2024-01-05 02:00:00,5.367
1704438900,2024-01-05 02:15:00,5.840
1704439800,2024-01-05 02:30:00,6.410
1704440700,2024-01-05 02:45:00,6.939
1704441600,2024-01-05 03:00:00,7.478
1704442500,2024-01-05 03:15:00,7.951
1704443400,2024-01-05 03:30:00,8.387
1704444300,2024-01-05 03:45:00,8.688
1704445200,2024-01-05 04:00:00,9.025
1704446100,2024-01-05 04:15:00,9.253
1704447000,2024-01-05 04:30:00,9.429
1704447900,2024-01-05 04:45:00,9.616
1704448800,2024-01-05 05:00:00,9.767
1704449700,2024-01-05 05:15:00,9.783
1704450600,2024-01-05 05:30:00,9.781
1704451500,2024-01-05 05:45:00,9.703
1704452400,2024-01-05 06:00:00,9.502
1704453300,2024-01-05 06:15:00,9.343
1704454200,2024-01-05 06:30:00,9.105
1704455100,2024-01-05 06:45:00,8.844
1704456000,2024-01-05 07:00:00,8.519
1704456900,2024-01-05 07:15:00,8.101
1704457800,2024-01-05 07:30:00,7.589
1704458700,2024-01-05 07:45:00,7.101
1704459600,2024-01-05 08:00:00,6.625
1704460500,2024-01-05 08:15:00,6.105
1704461400,2024-01-05 08:30:00,5.580
1704462300,2024-01-05 08:45:00,5.083
1704463200,2024-01-05 09:00:00,4.624
1704464100,2024-01-05 09:15:00,4.184
1704465000,2024-01-05 09:30:00,3.762
1704465900,2024-01-05 09:45:00,3.294
1704466800,2024-01-05 10:00:00,2.970
1704467700,2024-01-05 10:15:00,2.676
1704468600,2024-01-05 10:30:00,2.359
1704469500,2024-01-05 10:45:00,2.118
1704470400,2024-01-05 11:00:00,1.952
1704471300,2024-01-05 11:15:00,1.855
1704472200,2024-01-05 11:30:00,1.760
1704473100,2024-01-05 11:45:00,1.820
1704474000,2024-01-05 12:00:00,1.914
1704474900,2024-01-05 12:15:00,2.030
1704475800,2024-01-05 12:30:00,2.211
1704476700,2024-01-05 12:45:00,2.333
1704477600,2024-01-05 13:00:00,2.576
1704478500,2024-01-05 13:15:00,2.800
1704479400,2024-01-05 13:30:00,3.131
1704480300,2024-01-05 13:45:00,3.493
1704481200,2024-01-05 14:00:00,3.915
1704482100,2024-01-05 14:15:00,4.471
1704483000,2024-01-05 14:30:00,4.922
1704483900,2024-01-05 14:45:00,5.350
1704484800,2024-01-05 15:00:00,5.901
1704485700,2024-01-05 15:15:00,6.500
1704486600,2024-01-05 15:30:00,6.996
1704487500,2024-01-05 15:45:00,7.395
1704488400,2024-01-05 16:00:00,7.747
1704489300,2024-01-05 16:15:00,8.051
1704490200,2024-01-05 16:30:00,8.196
1704491100,2024-01-05 16:45:00,8.417
1704492000,2024-01-05 17:00:00,8.664
1704492900,2024-01-05 17:15:00,8.748
1704493800,2024-01-05 17:30:00,8.749
1704494700,2024-01-05 17:45:00,8.842
1704495600,2024-01-05 18:00:00,8.858
1704496500,2024-01-05 18:15:00,8.807
1704497400,2024-01-05 18:30:00,8.693
1704498300,2024-01-05 18:45:00,8.544
1704499200,2024-01-05 19:00:00,8.362
1704500100,2024-01-05 19:15:00,8.041
1704501000,2024-01-05 19:30:00,7.778
1704501900,2024-01-05 19:45:00,7.395
1704502800,2024-01-05 20:00:00,6.874
1704503700,2024-01-05 20:15:00,6.509
1704504600,2024-01-05 20:30:00,6.027
1704505500,2024-01-05 20:45:00,5.539
1704506400,2024-01-05 21:00:00,5.025
1704507300,2024-01-05 21:15:00,4.603
1704508200,2024-01-05 21:30:00,4.136
1704509100,2024-01-05 21:45:00,3.647
1704510000,2024-01-05 22:00:00,3.272
1704510900,2024-01-05 22:15:00,2.973
1704511800,2024-01-05 22:30:00,2.586
1704512700,2024-01-05 22:45:00,2.350
1704513600,2024-01-05 23:00:00,2.109
1704514500,2024-01-05 23:15:00,2.091
1704515400,2024-01-05 23:30:00,2.019
1704516300,2024-01-05 23:45:00,2.022
1704517200,2024-01-06 00:00:00,2.077
1704518100,2024-01-06 00:15:00,2.081
1704519000,2024-01-06 00:30:00,2.147
1704519900,2024-01-06 00:45:00,2.349
1704520800,2024-01-06 01:00:00,2.601
1704521700,2024-01-06 01:15:00,2.750
1704522600,2024-01-06 01:30:00,3.169
1704523500,2024-01-06 01:45:00,3.544
1704524400,2024-01-06 02:00:00,3.989
1704525300,2024-01-06 02:15:00,4.393
1704526200,2024-01-06 02:30:00,4.936
1704527100,2024-01-06 02:45:00,5.565
1704528000,2024-01-06 03:00:00,6.102
1704528900,2024-01-06 03:15:00,6.656
1704529800,2024-01-06 03:30:00,7.188
1704530700,2024-01-06 03:45:00,7.583
1704531600,2024-01-06 04:00:00,8.013
1704532500,2024-01-06 04:15:00,8.420
1704533400,2024-01-06 04:30:00,8.861
1704534300,2024-01-06 04:45:00,9.222
1704535200,2024-01-06 05:00:00,9.441
1704536100,2024-01-06 05:15:00,9.608
1704537000,2024-01-06 05:30:00,9.754
1704537900,2024-01-06 05:45:00,9.791
1704538800,2024-01-06 06:00:00,9.839
1704539700,2024-01-06 06:15:00,9.815
1704540600,2024-01-06 06:30:00,9.683
1704541500,2024-01-06 06:45:00,9.571
1704542400,2024-01-06 07:00:00,9.312
1704543300,2024-01-06 07:15:00,9.183
1704544200,2024-01-06 07:30:00,8.917
1704545100,2024-01-06 07:45:00,8.632
1704546000,2024-01-06 08:00:00,8.193
1704546900,2024-01-06 08:15:00,7.645
1704547800,2024-01-06 08:30:00,7.374
1704548700,2024-01-06 08:45:00,6.684
1704549600,2024-01-06 09:00:00,6.202
1704550500,2024-01-06 09:15:00,5.705
1704551400,2024-01-06 09:30:00,5.048
1704552300,2024-01-06 09:45:00,4.677
1704553200,2024-01-06 10:00:00,4.040
1704554100,2024-01-06 10:15:00,3.698
1704555000,2024-01-06 10:30:00,3.101
1704555900,2024-01-06 10:45:00,2.881
1704556800,2024-01-06 11:00:00,2.367
1704557700,2024-01-06 11:15:00,2.323
1704558600,2024-01-06 11:30:00,1.991
1704559500,2024-01-06 11:45:00,1.906
1704560400,2024-01-06 12:00:00,1.792
1704561300,2024-01-06 12:15:00,1.711
1704562200,2024-01-06 12:30:00,1.619
1704563100,2024-01-06 12:45:00,1.734
1704564000,2024-01-06 13:00:00,1.785
1704564900,2024-01-06 13:15:00,1.927
1704565800,2024-01-06 13:30:00,1.956
1704566700,2024-01-06 13:45:00,2.111
1704567600,2024-01-06 14:00:00,2.422
1704568500,2024-01-06 14:15:00,2.739
1704569400,2024-01-06 14:30:00,3.074
1704570300,2024-01-06 14:45:00,3.473
1704571200,2024-01-06 15:00:00,4.185
1704572100,2024-01-06 15:15:00,4.760
1704573000,2024-01-06 15:30:00,5.209
1704573900,2024-01-06 15:45:00,5.783
